Id;NombreEstacion;Estacion;longitud2;latitud2;altitud;anio;precipitaciones Dia;precipitaciones Noche;temperatura Dia;temperatura Noche;H. del Suelo Dia;H. del Suelo Noche;Evapotranspiracion Dia;Evapotranspiracion Noche;Velocidad del Viento Dia;Velocidad del Viento Noche;radiacion Solar
1;PORTOVIEJO;Picoza;-804.601;-10.382;3140;1964;181,9;319,6;29;16;0;0;;;;;5,8
2;PORTOVIEJO;Picoza;-804.601;-10.382;3140;1977;102,8;96,8;18;24;26;37;1,9;44,1;120,9;179,8;5,8
3;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3140;1978;98,1;161,5;21;17;12;25;37,1;17,6;131,6;62,6;5,7
4;PORTOVIEJO;San Pablo;-804.604;-10.385;3140;1979;71,2;83,2;17;17;20;28;5,9;104,8;182,1;89;5,5
5;PORTOVIEJO;Francisco Pacheco;-804.6;-10.381;3140;1980;181,9;319,6;29;20;20;29;2,9;36,8;28,3;137,5;6
6;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3140;1981;102,8;96,8;31;21;26;35;19,7;43,8;13,8;125,2;5,7
7;PORTOVIEJO;San Pablo;-804.604;-10.385;3140;1982;138,8;154,9;22;23;18;31;38,2;4,8;73,5;210,1;5,8
8;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3140;1983;73,2;92,8;26;17;20;31;1,2;30,2;13,5;203,1;5,8
9;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3140;1984;119,3;198,3;25;21;35;27;29,8;20,8;184,2;158,9;5,8
10;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3140;1985;185,9;62,6;30;24;14;26;15,1;41,2;92,4;85,4;6
11;PORTOVIEJO;Andres de Vera;-804.596;-10.378;3140;1986;91,4;169,7;20;21;26;45;2,8;6,9;62,1;213,6;5,7
12;PORTOVIEJO;Picoza;-804.601;-10.382;3140;1987;93,5;39,6;24;16;13;40;33,3;20,8;65;102,3;5,7
13;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3140;1988;135,8;171,4;21;24;12;34;82,8;37,1;82,3;155,1;5,9
14;PORTOVIEJO;Portoviejo;-804.602;-10.383;3140;1989;163,8;113,9;26;16;34;51;29,1;16,3;110;199,2;6
15;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3140;1990;96,8;151,8;24;16;26;35;34,5;2,9;171,7;176,2;5,9
16;PORTOVIEJO;San Pablo;-804.604;-10.385;3140;1991;73,9;85,3;33;21;26;26;34,6;42,2;161,1;60,3;5,9
17;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3140;1992;30,3;102,8;23;19;32;46;6,2;16,1;91,8;69,5;6,2
18;PORTOVIEJO;Portoviejo;-804.596;-10.383;3140;1993;158,2;180,6;18;20;34;40;23;5,1;109,3;81,1;5,7
19;PORTOVIEJO;Portoviejo;-804.596;-10.383;3140;1994;347,9;;31;21;20;45;7,6;6,3;15;74,9;5,6
20;PORTOVIEJO;Portoviejo;-804.596;-10.383;3140;1995;54,9;70,8;33;17;23;54;42,1;24,4;38,3;123,8;5,8
21;PORTOVIEJO;Colon;-804.598;-10.38;3140;1996;133,4;103;17;23;29;31;21,3;13,3;25,7;108,7;6,1
22;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3140;1997;323,3;53;30;18;19;27;1,2;0;61,1;79;5,9
23;PORTOVIEJO;San Pablo;-804.604;-10.385;3140;1998;42,5;108,8;22;16;19;33;17,2;29,5;48,8;74,4;5,5
24;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3140;1999;135,1;185,6;21;18;32;46;6,8;41;110,3;81,2;5,9
25;PORTOVIEJO;Portoviejo;-804.596;-10.383;3140;2000;115,2;113,3;25;24;34;37;6,8;8,1;74,7;31;5,9
26;PORTOVIEJO;Colon;-804.598;-10.38;3140;2001;92,9;99,5;19;18;29;55;16,1;0,8;69,8;11,8;5,7
27;PORTOVIEJO;18 de Octubre;-804.599;-10.377;3140;2002;114,3;47,2;29;16;14;25;5,6;5,3;28,1;171,6;5,6
28;PORTOVIEJO;12 de Marzo;-804.597;-10.379;3140;2003;30,2;87,5;23;20;29;46;16,1;0;69;115,9;5,9
29;PORTOVIEJO;Simon Bolivar;-804.603;-10.384;3140;2004;87,4;48,3;35;20;12;32;10,3;3,2;75,9;157,9;6
