Id;Provincia;Estacion;longitud2;latitud2;altitud;anio;ene;feb;mar;abr;may;jun;jul;ago;sep;oct;nov;dic
1;PORTOVIEJO;Picoza;-804.596;-10.376;3140;1964;;81,9;;;;;;;;;;
2;PORTOVIEJO;Picoza;-804.596;-10.376;3140;1977;;;;;;61;1,9;44,1;120,9;179,8;96,2;165,9
3;PORTOVIEJO;12 de Marzo;-804.596;-10.376;3140;1978;98,1;161,5;107,7;196,6;115,6;12,4;37,1;17,6;131,6;62,6;107,5;133,4
4;PORTOVIEJO;San Pablo;-804.596;-10.376;3140;1979;71,2;83,2;307,1;139;252,8;40,5;5,9;104,8;182,1;89;57,1;27,1
5;PORTOVIEJO;Francisco Pacheco;-804.596;-10.376;3140;1980;181,9;319,6;101,1;227,6;27;39,3;2,9;36,8;28,3;137,5;120,6;183
6;PORTOVIEJO;Andres de Vera;-804.596;-10.376;3140;1981;102,8;96,8;193,2;310,8;132,8;23,7;19,7;43,8;13,8;125,2;178,9;128,2
7;PORTOVIEJO;San Pablo;-804.596;-10.376;3140;1982;138,8;154,9;158,4;168,8;196,3;38;38,2;4,8;73,5;210,1;215,4;274,2
8;PORTOVIEJO;12 de Marzo;-804.596;-10.376;3140;1983;73,2;92,8;351,1;250,8;141,6;19;1,2;30,2;13,5;203,1;134,7;187,1
9;PORTOVIEJO;Andres de Vera;-804.596;-10.376;3140;1984;119,3;198,3;164,8;247,2;129,3;103,9;29,8;20,8;184,2;158,9;124,5;74,2
10;PORTOVIEJO;12 de Marzo;-804.596;-10.376;3140;1985;185,9;62,6;84,6;146,7;187,9;28,6;15,1;41,2;92,4;85,4;91;207
11;PORTOVIEJO;Andres de Vera;-804.596;-10.376;3140;1986;91,4;169,7;247,7;183,3;137,4;6,8;2,8;6,9;62,1;213,6;112,4;126,5
12;PORTOVIEJO;Picoza;-804.596;-10.376;3140;1987;93,5;39,6;151,4;141,3;171,8;11,3;33,3;20,8;65;102,3;22;26,8
13;PORTOVIEJO;12 de Marzo;-804.596;-10.376;3140;1988;135,8;171,4;20,7;334,1;228,8;177,7;82,8;37,1;82,3;155,1;360,2;98,9
14;PORTOVIEJO;Portoviejo;-804.596;-10.376;3140;1989;163,8;113,9;229,4;111,6;121,8;95,8;29,1;16,3;110;199,2;53,9;73,1
15;PORTOVIEJO;Simon Bolivar;-804.596;-10.376;3140;1990;96,8;151,8;106,6;152,7;64,5;19,8;34,5;2,9;171,7;176,2;43;55,9
16;PORTOVIEJO;San Pablo;-804.596;-10.376;3140;1991;73,9;85,3;248,5;46,6;181,7;28,5;34,6;42,2;161,1;60,3;146,1;146,3
17;PORTOVIEJO;Simon Bolivar;-804.596;-10.376;3140;1992;30,3;102,8;50,9;156,8;94,2;38,8;6,2;16,1;91,8;69,5;86,8;64,8
