Id;Estacion;longitud2;latitud2;altitud;anio;precipitaciones Dia;precipitaciones Noche;temperatura Dia;temperatura Noche;H. del Suelo Dia;H. del Suelo Noche;Evapotranspiracion Dia;Evapotranspiracion Noche;Velocidad del Viento Dia;Velocidad del Viento Noche;radiacion Solar
2;5;-804.601;-10.382;3140;1977;102.8;96.8;18.0;24;26;37;1.9;44.1;120.9;179.8;5.8
3;0;-804.597;-10.379;3140;1978;98.1;161.5;21.0;17;12;25;37.1;17.6;131.6;62.6;5.7
4;7;-804.604;-10.376;3140;1979;71.2;83.2;17.0;17;20;28;5.9;104.8;182.1;89.0;5.5
5;4;-804.6;-10.376;3140;1980;181.9;319.6;29.0;20;20;29;2.9;36.8;28.3;137.5;6.0
6;2;-804.595;-10.378;3140;1981;102.8;96.8;31.0;21;26;35;19.7;43.8;13.8;125.2;5.7
7;7;-804.604;-10.385;3140;1982;138.8;154.9;22.0;23;18;31;38.2;4.8;73.5;210.1;5.8
8;0;-804.597;-10.379;3140;1983;73.2;92.8;26.0;17;20;31;1.2;30.2;13.5;203.1;5.8
9;2;-804.595;-10.378;3140;1984;119.3;198.3;25.0;21;35;27;29.8;20.8;184.2;158.9;5.8
10;0;-804.597;-10.379;3140;1985;185.9;62.6;30.0;24;14;26;15.1;41.2;92.4;85.4;6.0
11;2;-804.595;-10.378;3140;1986;91.4;169.7;20.0;21;26;45;2.8;6.9;62.1;213.6;5.7
12;5;-804.601;-10.382;3140;1987;93.5;39.6;24.0;16;13;40;33.3;20.8;65.0;102.3;5.7
13;0;-804.597;-10.379;3140;1988;135.8;171.4;21.0;24;12;34;82.8;37.1;82.3;155.1;5.9
14;6;-804.596;-10.383;3140;1989;163.8;113.9;26.0;16;34;51;29.1;16.3;110.0;199.2;6.0
15;8;-804.603;-10.384;3140;1990;96.8;151.8;24.0;16;26;35;34.5;2.9;171.7;176.2;5.9
16;7;-804.604;-10.385;3140;1991;73.9;85.3;33.0;21;26;26;34.6;42.2;161.1;60.3;5.9
17;8;-804.603;-10.384;3140;1992;30.3;102.8;23.0;19;32;46;6.2;16.1;91.8;69.5;6.2
18;6;-804.596;-10.383;3140;1993;158.2;180.6;18.0;20;34;40;23.0;5.1;109.3;81.1;5.7
19;6;-804.596;-10.383;3140;1994;347.9;180.6;31.0;21;20;45;7.6;6.3;15.0;74.9;5.6
20;6;-804.596;-10.383;3140;1995;54.9;70.8;33.0;17;23;54;42.1;24.4;38.3;123.8;5.8
21;3;-804.598;-10.38;3140;1996;133.4;103.0;17.0;23;29;31;21.3;13.3;25.7;108.7;6.1
23;7;-804.604;-10.385;3140;1998;42.5;108.8;22.0;16;19;33;17.2;29.5;48.8;74.4;5.5
24;8;-804.603;-10.384;3140;1999;135.1;185.6;21.0;18;32;46;6.8;41.0;110.3;81.2;5.9
25;6;-804.596;-10.383;3140;2000;115.2;113.3;25.0;24;34;37;6.8;8.1;74.7;31.0;5.9
26;3;-804.598;-10.38;3140;2001;92.9;99.5;19.0;18;29;55;16.1;0.8;69.8;11.8;5.7
27;1;-804.599;-10.377;3140;2002;114.3;47.2;29.0;16;14;25;5.6;5.3;28.1;171.6;5.6
29;8;-804.603;-10.384;3140;2004;87.4;48.3;35.0;20;12;32;10.3;3.2;75.9;157.9;6.0
30;5;-804.601;-10.382;3140;2005;72.4;152.3;24.0;23;25;51;27.4;14.5;59.4;62.8;5.8
31;0;-804.597;-10.379;3140;2006;104.2;165.2;22.0;20;32;30;9.4;4.5;7.6;147.6;5.9
32;0;-804.597;-10.379;3140;2007;70.2;55.1;27.0;16;24;27;14.5;54.1;3.6;119.0;5.8
33;1;-804.599;-10.377;3140;2008;218.9;147.4;32.0;17;34;46;13.5;50.0;44.5;198.1;6.2
34;4;-804.6;-10.376;3140;2009;195.1;154.9;34.0;21;27;25;3.8;5.0;28.3;49.2;6.1
35;8;-804.603;-10.384;3140;2010;20.2;35.7;33.0;23;27;25;122.1;37.4;75.7;114.0;5.7
36;7;-804.604;-10.385;3140;2011;149.1;207.6;21.0;23;31;55;96.4;88.8;94.8;92.0;6.2
37;5;-804.601;-10.382;3140;2012;254.2;166.9;27.0;19;14;48;5.2;17.6;18.6;112.8;6.2
38;5;-804.601;-10.382;3140;2013;63.2;179.6;35.0;19;34;52;8.1;16.4;19.7;119.6;5.9
39;1;-804.599;-10.377;3140;2014;173.7;88.3;35.0;16;30;36;5.4;2.2;55.8;175.8;5.8
40;1;-804.599;-10.377;3140;2015;78.3;52.8;27.0;19;30;27;52.8;3.4;2.6;71.0;5.9
41;3;-804.598;-10.38;3140;2016;306.5;52.6;24.0;22;30;38;5.6;0.1;55.9;91.8;6.0
42;0;-804.597;-10.379;3140;2017;209.6;121.5;35.0;17;34;32;4.1;33.5;55.5;199.6;5.8
43;2;-804.595;-10.378;3140;2018;104.0;207.6;21.0;24;20;54;26.1;32.3;41.5;48.4;5.5
44;1;-804.599;-10.377;3140;2019;155.0;158.7;24.0;24;12;29;11.2;1.1;56.4;106.5;5.7
45;0;-804.597;-10.379;2480;1980;155.0;158.7;32.0;24;18;47;2.0;12.4;68.3;150.7;5.6
46;2;-804.595;-10.378;2480;1981;62.3;84.8;18.0;24;29;34;17.6;39.0;33.6;72.1;5.8
47;7;-804.604;-10.385;2480;1982;91.6;36.0;30.0;16;29;28;16.4;1.2;103.1;166.5;5.8
48;2;-804.595;-10.378;2480;1983;62.4;85.8;17.0;18;22;32;3.5;5.3;15.6;154.7;5.6
49;3;-804.598;-10.38;2480;1984;103.1;126.6;19.0;20;20;41;17.3;45.1;104.2;70.0;6.2
50;0;-804.597;-10.379;2480;1985;38.3;26.6;18.0;24;14;29;2.3;11.3;149.0;78.8;5.7
51;7;-804.604;-10.385;2480;1986;67.8;155.5;22.0;24;35;38;0.1;0.4;74.5;97.2;5.7
52;0;-804.597;-10.379;2480;1987;63.7;38.5;20.0;19;20;54;10.2;8.4;77.2;121.1;6.0
53;3;-804.598;-10.38;2480;1988;57.5;82.2;35.0;21;34;44;33.1;51.3;62.4;80.4;5.9
54;7;-804.604;-10.385;2480;1989;75.5;58.0;26.0;20;13;36;22.3;19.6;55.5;165.9;5.7
55;6;-804.596;-10.383;2480;1990;31.2;68.8;25.0;20;23;36;9.0;58.4;41.9;221.2;5.8
56;5;-804.601;-10.382;2480;1991;83.6;19.3;34.0;23;35;29;32.3;3.0;66.8;73.3;6.1
57;2;-804.595;-10.378;2480;1992;35.9;65.7;35.0;16;27;49;3.4;8.6;50.4;72.6;5.5
58;6;-804.596;-10.383;2480;1993;84.4;155.3;22.0;17;27;29;5.2;3.3;71.8;78.8;5.9
59;6;-804.596;-10.383;2480;1994;139.8;130.2;33.0;19;21;48;1.0;6.8;36.6;52.8;6.0
60;2;-804.595;-10.378;2480;1995;4.9;31.8;24.0;21;15;25;21.7;29.1;7.8;151.8;5.8
61;8;-804.603;-10.384;2480;1996;77.3;105.8;31.0;20;26;35;20.1;35.0;65.1;159.5;5.7
62;4;-804.6;-10.376;2480;1997;135.0;10.9;27.0;22;12;34;5.5;0.6;96.5;127.2;5.7
63;8;-804.603;-10.384;2480;1998;77.2;51.5;32.0;23;27;39;21.1;45.8;9.3;107.1;5.9
64;6;-804.596;-10.383;2480;1999;57.1;90.1;19.0;18;15;41;0.6;17.4;94.5;105.9;5.9
65;4;-804.6;-10.376;2480;2000;129.5;145.5;21.0;16;20;50;35.4;2.1;77.3;67.4;5.6
67;4;-804.6;-10.376;2480;2002;44.7;36.9;27.0;20;18;53;11.6;21.7;49.6;79.9;6.1
68;5;-804.601;-10.382;2480;2003;40.1;68.9;18.0;23;24;30;10.3;20.8;84.3;85.3;5.9
69;6;-804.596;-10.383;2480;2004;82.3;27.3;18.0;22;28;51;4.4;0.7;53.8;105.4;5.7
70;2;-804.595;-10.378;2480;2005;52.8;97.7;26.0;21;14;29;9.1;18.8;20.2;87.0;5.5
71;1;-804.599;-10.377;2480;2006;42.4;74.8;21.0;17;22;43;4.6;3.0;11.0;101.3;5.9
72;3;-804.598;-10.38;2480;2007;69.2;42.5;34.0;19;15;51;3.6;13.1;22.3;143.4;5.5
73;8;-804.603;-10.384;2480;2008;86.4;148.2;24.0;16;24;32;2.4;22.1;25.4;186.7;5.8
74;3;-804.598;-10.38;2480;2009;101.4;48.5;17.0;17;14;45;14.9;0.1;9.9;121.5;5.7
75;4;-804.6;-10.376;2480;2010;15.9;83.0;18.0;24;27;33;69.6;29.5;79.1;66.4;5.6
76;3;-804.598;-10.38;2480;2011;34.8;158.9;31.0;18;27;52;46.6;43.3;35.5;77.8;5.7
77;5;-804.601;-10.382;2480;2012;76.9;59.8;20.0;23;14;43;1.5;2.0;53.3;70.2;5.6
78;7;-804.604;-10.385;2480;2013;17.8;159.8;33.0;21;19;35;4.5;36.3;24.4;77.9;5.9
79;5;-804.601;-10.382;2480;2014;66.5;65.7;30.0;24;12;38;0.8;0.4;46.9;130.5;5.9
80;4;-804.6;-10.376;2480;2015;54.2;78.5;21.0;21;13;46;16.8;2.0;16.8;123.7;5.5
81;5;-804.601;-10.382;2480;2016;57.3;4.2;24.0;21;33;51;6.4;5.6;46.3;98.0;6.0
82;6;-804.596;-10.383;2480;2017;203.8;74.3;31.0;20;29;50;0.8;29.5;25.5;124.1;5.7
83;2;-804.595;-10.378;2480;2018;66.9;107.9;28.0;24;15;42;13.6;19.0;21.3;97.2;5.6
84;8;-804.603;-10.384;2480;2019;55.8;120.3;31.0;24;20;53;5.0;0.1;56.1;82.3;5.6
85;6;-804.596;-10.383;3058;1962;55.8;176.2;34.0;22;32;40;6.1;13.1;39.5;74.3;5.8
86;4;-804.6;-10.376;3058;1963;199.5;185.3;22.0;19;29;38;60.0;29.7;41.5;102.3;6.0
87;1;-804.599;-10.377;3058;1964;57.9;59.2;19.0;17;22;28;43.2;71.7;32.0;93.1;5.9
88;3;-804.598;-10.38;3058;1965;159.9;67.3;21.0;19;17;27;5.3;10.0;143.5;209.5;5.9
89;7;-804.604;-10.385;3058;1966;91.3;123.3;27.0;16;30;30;30.7;24.5;65.6;154.6;6.1
90;2;-804.595;-10.378;3058;1967;147.8;262.8;34.0;24;25;53;21.9;14.2;39.0;195.2;6.0
91;6;-804.596;-10.383;3058;1968;80.6;159.0;33.0;24;27;31;28.6;56.7;103.8;155.1;5.6
92;5;-804.601;-10.382;3058;1969;80.6;269.8;22.0;18;23;34;0.7;16.5;153.4;174.2;5.7
93;7;-804.604;-10.385;3058;1970;164.5;284.5;28.0;19;30;44;8.3;27.3;77.0;104.9;5.9
94;6;-804.596;-10.383;3058;1971;222.6;302.0;29.0;21;24;27;4.2;56.9;107.9;208.1;5.8
